Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario,Prezzo di acquisto," IVA",Prezzo listino,IVA %,Margine,Costo,Prezzo di vendita,Data,Variazione prezzo
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 19, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Verde Acido,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,35,23.55,11.45,1.51935483871,,15.5,8.05,35,,,,,,
Spolverini,"September 19, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Beige,L,Spolverini,Donna,Abbadia San Salvatore,No,,35,23.55,11.45,1.51935483871,,15.5,8.05,35,,,,,,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,S,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Verde,56,Spolverini,Uomo,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,L,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Bianco,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Beige,XL,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Nero,XL,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
Gilet,"September 19, 2024",Gilet Uomo (https://www.notion.so/Gilet-Uomo-12926fe15a294a75a5f174f080d566a4?pvs=21),Nero,XL,Gilet,Uomo,Abbadia San Salvatore,No,,25,16.25,8.75,1.547619047619,,10.5,5.75,25,,,,,,
Gilet,"September 19, 2024",Gilet Plus (https://www.notion.so/Gilet-Plus-05bc7eaacdca4102880be1dde048cc44?pvs=21),Rosa,48,Gilet,Donna,Abbadia San Salvatore,No,,30,18.9,11.1,1.575,,12,6.9,30,,,,,,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Blu,50,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
K-Way pesanti,"September 19, 2024",K-Way Peso Uomo (https://www.notion.so/K-Way-Peso-Uomo-48b979b98fe84496b9787c28cffe5293?pvs=21),Verde,XL,K-Way,Uomo,Abbadia San Salvatore,No,,35,20.05,14.95,1.670833333333,,12,8.05,35,,,,,,
K-Way pesanti,"September 19, 2024",K-Way Peso Uomo (https://www.notion.so/K-Way-Peso-Uomo-48b979b98fe84496b9787c28cffe5293?pvs=21),Verde,2XL,K-Way,Uomo,Abbadia San Salvatore,No,,35,20.05,14.95,1.670833333333,,12,8.05,35,,,,,,
K-Way pesanti,"September 19, 2024",K-Way Peso Lungo (https://www.notion.so/K-Way-Peso-Lungo-1cc1df5fab6a4ce6b6e1ab92b6cfdf89?pvs=21),Bianco,2XL,K-Way,Donna,Abbadia San Salvatore,No,,65,36.95,28.05,1.679545454545,,22,14.95,65,,,,,,
Pelliccia,"September 19, 2024",Pelliccia (https://www.notion.so/Pelliccia-116f56f3c32b8013aadac721b2beb71c?pvs=21),Viola,One Size,Pelliccia,Donna,Abbadia San Salvatore,No,30,70,21.1,48.9,4.22,,5,16.1,100,,,,,,
Piumino,"September 19, 2024",Piuma Over (https://www.notion.so/Piuma-Over-4e7852d3b8bf48b0b8e90ed85cc8e2bb?pvs=21),Nero,2XL,Piumino,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,,25,14.95,65,,,,,,
Piumino,"September 19, 2024",Piuma Over (https://www.notion.so/Piuma-Over-4e7852d3b8bf48b0b8e90ed85cc8e2bb?pvs=21),Fucsia,L,Piumino,Donna,Abbadia San Salvatore,No,10,55,37.65,17.35,1.506,,25,12.65,65,,,,,,
Parka,"September 19, 2024",Parka Light (https://www.notion.so/Parka-Light-115f56f3c32b800e9b56eca27ea3dfcd?pvs=21),Verde,L,Parka,Donna,Abbadia San Salvatore,No,,35,18.05,16.95,1.805,,10,8.05,35,,,,,,
Pelle B-One,"September 19, 2024",Pelle Emma BO (https://www.notion.so/Pelle-Emma-BO-116f56f3c32b8029928ad3541195d71b?pvs=21),Nero,54,Pelle,Donna,Abbadia San Salvatore,No,,180,91.4,88.6,1.828,,50,41.4,180,,,,,,
Pelle Barone,"September 19, 2024",Pelle Faby (https://www.notion.so/Pelle-Faby-115f56f3c32b802faa9dff116ece8fd3?pvs=21),Nero,M,Pelle,Donna,Abbadia San Salvatore,No,19,170,134.1,35.9,1.411578947368,,95,39.1,189,,,,,,
Pelle Barone,"September 19, 2024",Pelle Michele (https://www.notion.so/Pelle-Michele-115f56f3c32b809bb1d0f5578eb2eda3?pvs=21),Nero,3XL,Pelle,Uomo,Abbadia San Salvatore,No,9,280,189.4,90.6,1.5152,,125,64.4,289,,,,,,
ANON 100g,"September 19, 2024",100g Anon (https://www.notion.so/100g-Anon-116f56f3c32b8026a92fce554570f39d?pvs=21),ANON,ANON,100G,Donna,Abbadia San Salvatore,No,,45,30.35,14.65,1.5175,,20,10.35,45,,,,,,
ANON 100g,"September 19, 2024",100g Anon (https://www.notion.so/100g-Anon-116f56f3c32b8026a92fce554570f39d?pvs=21),ANON,ANON,100G,Donna,Abbadia San Salvatore,No,,45,30.35,14.65,1.5175,,20,10.35,45,,,,,,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Bianco,L,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Fucsia,S,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Pistacchio,2XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Celeste,2XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Verde,M,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Bluette,XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Nero,2XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Nero,3XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Verde Fluo,3XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Verde Fluo,L,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
