Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario
100g,"September 21, 2024",Uomo Giacca (https://www.notion.so/Uomo-Giacca-115f56f3c32b80fba6e8e8e6dc36595c?pvs=21),Blu,L,100G,Uomo,Corsico Milano,No,,45,15.35,29.65,3.07,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Blu,48,100G,Donna,Corsico Milano,No,,45,30.35,14.65,1.5175,
100g,"September 21, 2024",Fly Giacca (https://www.notion.so/Fly-Giacca-115f56f3c32b804297cfde9efb04945a?pvs=21),Nero,52,100G,Donna,Corsico Milano,No,-10,55,31.65,23.35,1.665789473684,
100g,"September 21, 2024",Trapezio 3/4 (https://www.notion.so/Trapezio-3-4-115f56f3c32b80a09c1cf19a7e3a427f?pvs=21),Beige,48,100G,Donna,Corsico Milano,No,,45,28.35,16.65,1.575,
100g,"September 21, 2024",Trapezio 3/4 (https://www.notion.so/Trapezio-3-4-115f56f3c32b80a09c1cf19a7e3a427f?pvs=21),Bianco,52,100G,Donna,Corsico Milano,No,,45,28.35,16.65,1.575,
Trench,"September 21, 2024",Trench  (https://www.notion.so/Trench-4187412f2502401ea8e8f9463c24fafe?pvs=21),Camel,S,Trench,Donna,Corsico Milano,No,,65,36.95,28.05,1.679545454545,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,52,Spolverini,Uomo,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,M,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
